date,code,name,entry_price,exit_price,qty,profit_loss,profit_loss_pct,exit_reason,entry_time,exit_time,mfe_pct,mae_pct,gap_from_open_pct
20251015,3086,Ｊ．フロント　リテイリング,2406.5,2454.63,100,4813.000000000011,2.0000000000000044,利確,09:30,09:39,2.0985,-0.0623,0.9
20251016,7085,カーブスホールディングス,791.0,783.09,500,-3954.999999999984,-0.999999999999996,損切り,09:31,09:54,0.0,-1.0114,1.41
20251017,4960,ケミプロ化成,306.0,302.94,1300,-3978.0000000000027,-1.0000000000000007,損切り,09:34,09:35,0.0,-2.6144,2.68
20251020,6505,東洋電機製造,2013.0,2009.0,100,-400.0,-0.19870839542970692,大引け,09:30,15:30,0.8445,-0.6955,2.6
20251021,2432,ディー・エヌ・エー,2424.0,2472.48,100,4848.000000000002,2.000000000000001,利確,09:30,10:18,2.2277,-0.0413,1.21
20251022,6566,要興業,1315.0,1341.3,300,7889.999999999986,1.9999999999999967,利確,09:30,09:44,4.3346,-0.3042,1.94
20251023,6335,東京機械製作所,481.0,490.62,800,7696.000000000004,2.000000000000001,利確,09:31,09:33,3.9501,0.0,1.26
20251024,6042,ニッキ,3350.0,3316.5,100,-3350.0,-1.0,損切り,09:32,11:30,0.0,-1.3433,0.0
20251027,3891,ニッポン高度紙工業,2360.0,2407.2,100,4719.999999999982,1.9999999999999925,利確,09:30,13:20,2.1186,-0.0424,0.64
20251028,5830,いよぎんホールディングス,2365.0,2341.35,100,-2365.000000000009,-1.0000000000000038,損切り,09:33,11:29,1.0994,-1.0994,1.07
20251029,6928,エノモト,1886.0,1867.1399999999999,200,-3772.0000000000255,-1.0000000000000069,損切り,09:30,10:25,0.1591,-1.1135,2.78
20251030,6564,ミダックホールディングス,1819.0,1800.81,200,-3638.000000000011,-1.0000000000000029,損切り,09:31,10:31,0.3299,-1.0995,1.28
20251031,6565,ＡＢホテル,1715.0,1697.85,200,-3430.000000000018,-1.0000000000000053,損切り,09:30,10:16,0.0583,-1.0496,0.88
20251104,6292,カワタ,748.0,745.0,500,-1500.0,-0.4010695187165776,前場引け,09:30,11:30,0.4011,-0.8021,1.22
20251105,7282,豊田合成,3807.0,3768.93,100,-3807.0000000000164,-1.0000000000000044,損切り,09:35,10:31,0.2364,-1.1032,1.82
20251106,8005,スクロール,1175.0,1179.0,300,1200.0,0.3404255319148936,大引け,09:30,15:30,1.0213,-0.0851,0.43
20251107,4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,1185.0,1208.7,300,7110.000000000014,2.000000000000004,利確,09:31,09:47,2.5316,-0.2532,1.46
20251110,3101,東洋紡,1163.0,1151.37,300,-3489.0000000000327,-1.0000000000000093,損切り,09:30,12:59,0.7739,-2.2356,0.95
20251111,5232,住友大阪セメント,4008.0,3967.92,100,-4007.9999999999927,-0.9999999999999981,損切り,09:30,14:30,1.6966,-3.4431,0.25
20251112,3997,トレードワークス,499.0,494.01,800,-3992.0000000000073,-1.0000000000000018,損切り,09:30,09:31,0.0,-1.002,1.63
20251113,2267,ヤクルト本社,2537.0,2587.7400000000002,100,5074.000000000024,2.0000000000000093,利確,09:31,12:49,2.0102,-0.0197,1.44
20251114,9416,ビジョン,1257.0,1268.0,300,3300.0,0.8750994431185362,大引け,09:33,15:30,1.1933,-0.5569,1.7
20251117,5843,ニッポンインシュア,2935.0,2905.65,100,-2934.999999999991,-0.9999999999999969,損切り,09:33,09:56,1.1925,-2.3169,2.51
20251118,3691,デジタルプラス,1477.0,1462.23,200,-2953.9999999999964,-0.9999999999999988,損切り,09:31,09:33,1.0156,-1.5572,3.0
20251119,9997,ベルーナ,908.0,926.16,400,7263.999999999987,1.9999999999999967,利確,09:33,13:29,2.0925,-0.1101,0.22
20251120,3197,すかいらーくホールディングス,3464.0,3533.28,100,6928.00000000002,2.0000000000000058,利確,09:33,13:42,2.0497,-0.7506,2.39
20251121,2801,キッコーマン,1412.5,1440.75,200,5650.0,2.0,利確,09:30,10:36,2.0531,0.0,2.36
20251125,9508,九州電力,1681.5,1715.13,200,6726.000000000022,2.0000000000000067,利確,09:30,14:15,2.0815,-0.0595,2.06
20251126,7138,ＴＯＲＩＣＯ,167.0,170.34,2300,7682.000000000008,2.000000000000002,利確,09:30,09:38,5.3892,0.0,2.45
20251127,7590,タカショー,425.0,421.0,900,-3600.0,-0.9411764705882352,大引け,09:32,15:30,0.7059,-0.9412,0.47
20251128,3935,エディア,973.0,992.46,400,7784.000000000015,2.000000000000004,利確,09:31,11:24,2.0555,-0.6166,1.04
20251201,3835,ｅＢＡＳＥ,446.0,441.54,800,-3567.9999999999836,-0.9999999999999953,損切り,09:31,10:33,0.0,-1.1211,1.13
20251202,7150,島根銀行,501.0,511.02,700,7013.999999999987,1.9999999999999962,利確,09:33,09:40,2.3952,0.0,0.4
20251203,4069,ＢｌｕｅＭｅｍｅ,1532.0,1516.68,200,-3063.9999999999873,-0.9999999999999959,損切り,09:33,09:34,0.1305,-2.0235,0.52
20251204,2354,ＹＥ　ＤＩＧＩＴＡＬ,660.0,673.0,600,7800.0,1.9696969696969695,大引け,09:31,15:30,1.9697,-0.6061,2.96
20251205,5970,ジーテクト,1848.0,1841.0,200,-1400.0,-0.3787878787878788,前場引け,09:35,11:30,0.487,-0.5952,0.43
