date,code,name,entry_price,exit_price,qty,profit_loss,profit_loss_pct,exit_reason,exit_time,mfe_pct,mae_pct,material_strength,volume_surge,gap_pct
20250725,6840,ＡＫＩＢＡホールディングス,313.0,309.87,1200,-3755.9999999999945,-0.9999999999999987,損切り,09:10,1.5974,-2.2364,中,15.818259150841902,-14.24657534246575
20250728,2138,クルーズ,662.0,655.38,600,-3972.0000000000027,-1.0000000000000007,損切り,09:43,1.9637,-1.0574,中,11.655604020481698,-7.02247191011236
20250729,7859,アルメディオ,228.0,225.72,1700,-3876.000000000002,-1.0000000000000004,損切り,09:17,0.0,-1.3158,中,16.43696540032365,-13.962264150943394
20250730,3911,Ａｉｍｉｎｇ,296.0,293.04,1300,-3847.9999999999736,-0.9999999999999931,損切り,09:18,0.3378,-3.3784,中,14.862567040468065,1.7182130584192379
20250731,7426,山大,1112.0,1134.24,300,6672.000000000003,2.000000000000001,利確,13:03,6.8345,0.0,中,16.037428803905616,-15.372907153729077
20250801,2330,フォーサイド,180.0,183.6,2200,7919.999999999987,1.999999999999997,利確,09:04,5.0,0.0,中,15.641609648614171,-15.094339622641506
20250804,3908,コラボス,398.0,405.96,1000,7959.99999999998,1.999999999999995,利確,09:25,2.0101,-0.7538,中,17.527675276752767,-1.9704433497536922
20250805,3690,イルグルム,610.0,622.2,600,7320.000000000027,2.000000000000007,利確,09:14,2.623,-0.1639,中,17.773397165117807,-3.0206677265500748
20250806,6402,兼松エンジニアリング,1525.0,1509.75,200,-3050.0,-1.0,損切り,09:43,0.0,-1.6393,中,15.627258647392877,0.06561679790026975
20250807,9980,ＭＲＫホールディングス,92.0,93.84,4300,7912.000000000015,2.000000000000004,利確,09:00,4.3478,0.0,中,18.316493854970684,-12.380952380952381
20250808,7455,パリミキホールディングス,334.0,330.66,1100,-3673.9999999999727,-0.9999999999999926,損切り,09:06,1.1976,-1.1976,中,15.17436965480569,-14.795918367346939
20250812,3928,マイネット,259.0,264.18,1500,7770.00000000001,2.0000000000000027,利確,13:00,6.5637,0.0,中,15.646028269958192,3.600000000000003
20250813,7822,永大産業,235.0,239.70000000000002,1700,7990.000000000029,2.000000000000007,利確,10:46,2.1277,-0.8511,中,16.936841360775162,-15.467625899280579
20250814,2673,夢みつけ隊,145.0,143.55,2700,-3914.999999999969,-0.9999999999999922,損切り,09:04,0.0,-1.3793,中,14.21921873487952,-1.3605442176870763
20250815,4017,クリーマ,262.0,259.38,1500,-3930.000000000007,-1.0000000000000018,損切り,10:15,0.0,-1.145,中,14.646385173529154,-16.560509554140125
20250818,6177,ＡｐｐＢａｎｋ,104.0,106.08,3800,7903.999999999994,1.9999999999999982,利確,09:30,2.8846,-0.9615,中,14.7145279289575,-31.57894736842105
20250819,7112,キューブ,480.0,489.6,800,7680.000000000018,2.000000000000005,利確,09:15,2.0833,-0.2083,中,14.542162441800311,-6.976744186046513
20250820,2375,ギグワークス,258.0,263.16,1500,7740.000000000037,2.0000000000000098,利確,09:02,2.3256,0.0,中,12.572902916116645,-8.833922261484094
20250821,4575,キャンバス,1041.0,1030.59,300,-3123.0000000000246,-1.0000000000000078,損切り,10:00,0.3842,-1.0567,中,12.612491733834254,-13.032581453634084
20250822,6634,ＪＮグループ,152.0,155.04,2600,7903.999999999979,1.999999999999995,利確,09:00,3.2895,0.0,中,15.503384867281715,-7.317073170731703
20250825,3624,アクセルマーク,132.0,134.64000000000001,3000,7920.000000000045,2.000000000000011,利確,09:00,3.7879,0.0,中,10.88791598002804,-2.2222222222222254
20250826,6786,ＲＶＨ,97.0,98.94,4100,7953.999999999991,1.9999999999999976,利確,09:00,2.0619,0.0,中,12.353702510239629,-10.185185185185187
20250827,3681,ブイキューブ,165.0,168.3,2400,7920.000000000027,2.000000000000007,利確,09:11,2.4242,0.0,中,15.750545310331152,-8.333333333333337
20250828,9254,ラバブルマーケティンググループ,1474.0,1503.48,200,5896.000000000004,2.000000000000001,利確,09:10,2.7137,-0.0678,中,13.904761904761903,1.7253278122843385
20250829,7229,ユタカ技研,2860.0,2917.2000000000003,100,5720.000000000027,2.0000000000000093,利確,10:39,2.1329,-0.5944,中,10.410638987998702,-5.610561056105611
20250901,3929,ソーシャルワイヤー,282.0,287.64,1400,7895.999999999981,1.9999999999999951,利確,09:09,5.6738,0.0,中,17.695280406536227,-3.0927835051546393
20250902,4596,窪田製薬ホールディングス,70.0,69.3,5700,-3990.0000000000164,-1.000000000000004,損切り,09:09,2.8571,-4.2857,中,15.202559330257888,-12.5
20250903,2693,ＹＫＴ,243.0,247.86,1600,7776.000000000022,2.0000000000000058,利確,09:20,2.0576,0.0,中,13.135209189587943,-0.4098360655737654
20250904,5269,日本コンクリート工業,339.0,345.78000000000003,1100,7458.000000000033,2.000000000000009,利確,09:23,2.0649,-0.885,中,12.179734851277816,-6.6115702479338845
20250905,4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,307.0,313.14,1300,7981.999999999982,1.9999999999999956,利確,10:00,6.8404,0.0,中,15.102939377879244,-20.671834625322994
